Round   1   [ Q of Diamonds ,  K of Club     ,  8 of Diamonds ,  Q of Spades   ]    
Round  28   [ Q of Club     ,  3 of Diamonds ,  J of Diamonds ,  3 of Spades   ]    
Round  29   [ Q of Club     ,  5 of Spades   ,  2 of Hearts   ,  Q of Diamonds ]    
Round  30   [ Q of Diamonds ,  J of Hearts   ,  2 of Diamonds ,  5 of Club     ]    
Round  31   [ 3 of Spades   ,  J of Club     ,  A of Club     ,  4 of Club     ]    
Round  32   [ K of Hearts   ,  6 of Diamonds ,  9 of Spades   ,  6 of Hearts   ]    
Round  33   [ 3 of Hearts   , 10 of Club     ,  J of Hearts   ,  5 of Hearts   ]    
Round  34   [ 5 of Club     ,  9 of Spades   ,  4 of Spades   ,  3 of Diamonds ]    
Round  35   [ 3 of Hearts   ,  7 of Spades   ,  2 of Spades   ,  4 of Spades   ]    
Round  36   [ K of Hearts   ,  7 of Spades   ,  A of Club     ,  Q of Hearts   ]    
Round  37   [ A of Club     ,  5 of Spades   ,  A of Hearts   ,  2 of Hearts   ]    
Round  38   [ K of Club     ,  4 of Club     ,  J of Diamonds ,  5 of Club     ]    
Round  39   [ 7 of Club     ,  6 of Diamonds ,  Q of Spades   ,  5 of Diamonds ]    
Round  40   [ 2 of Spades   ,  9 of Club     , 10 of Hearts   ,  7 of Diamonds ]    
Round  41   [ 6 of Club     , 10 of Diamonds ,  5 of Hearts   ,  Q of Spades   ]    
Round  42   [ 4 of Club     ,  8 of Club     , 10 of Club     ,  2 of Spades   ]    
Round  43   [ 9 of Spades   ,  2 of Club     ,  5 of Hearts   ,  A of Club     ]    
Round  44   [ 4 of Club     ,  3 of Spades   ,  4 of Diamonds , 10 of Hearts   ]    
Round  45   [ 9 of Hearts   ,  K of Club     ,  3 of Hearts   ,  8 of Hearts   ]    
Round  46   [ 4 of Spades   ,  2 of Spades   ,  7 of Spades   ,  7 of Club     ]    
Round  47   [ A of Spades   ,  5 of Spades   ,  3 of Diamonds , 10 of Hearts   ]    
Round  48   [ 5 of Spades   ,  J of Club     ,  3 of Club     ,  2 of Spades   ]    
Round  49   [ A of Spades   ,  9 of Spades   ,  5 of Hearts   ,  5 of Spades   ]    
Round  50   [ 6 of Hearts   ,  4 of Club     , 10 of Diamonds ,  Q of Club     ]    
Round  51   [ 8 of Hearts   ,  4 of Spades   ,  6 of Spades   , 10 of Diamonds ]    
Round  52   [ 5 of Hearts   ,  6 of Spades   ,  7 of Club     ,  8 of Diamonds ]    
Round  53   [ K of Diamonds ,  4 of Club     ,  A of Spades   ,  3 of Spades   ]    
Round  54   [ 7 of Hearts   ,  7 of Diamonds ,  7 of Spades   ,  5 of Club     ]    
Round  55   [ 8 of Hearts   ,  K of Hearts   ,  8 of Diamonds ,  9 of Club     ]    
Round  56   [10 of Spades   ,  5 of Hearts   , 10 of Diamonds ,  J of Diamonds ]    
Round  57   [ 7 of Spades   , 10 of Diamonds ,  5 of Hearts   ,  6 of Club     ]    
Round  58   [ 9 of Club     ,  4 of Diamonds ,  7 of Spades   ,  5 of Spades   ]    
Round  59   [ 5 of Club     ,  8 of Spades   ,  8 of Diamonds ,  K of Club     ]    
Round  60   [ A of Diamonds ,  A of Hearts   ,  Q of Spades   ,  6 of Hearts   ]    
Round  61   [ 8 of Spades   ,  2 of Club     ,  8 of Hearts   ,  A of Diamonds ]    
Round  62   [ 2 of Club     ,  4 of Club     ,  Q of Club     ,  9 of Diamonds ]    
Round  63   [ 5 of Diamonds ,  K of Diamonds ,  6 of Diamonds ,  K of Club     ]    
Round  64   [10 of Hearts   ,  4 of Diamonds ,  K of Hearts   ,  K of Club     ]    
Round  65   [ A of Spades   ,  K of Diamonds ,  2 of Hearts   ,  6 of Club     ]    
Round  66   [ 4 of Hearts   ,  3 of Club     ,  6 of Diamonds ,  A of Spades   ]    
Round  67   [ 7 of Club     ,  A of Spades   ,  4 of Hearts   , 10 of Diamonds ]    
Round  68   [ A of Hearts   ,  Q of Spades   ,  8 of Diamonds ,  Q of Diamonds ]    
Round  69   [ 4 of Hearts   ,  K of Club     ,  7 of Spades   ,  8 of Hearts   ]    
Round  70   [ J of Spades   ,  4 of Hearts   ,  4 of Diamonds ,  9 of Hearts   ]    
Round  71   [ Q of Diamonds ,  A of Club     ,  K of Club     ,  8 of Spades   ]    
Round  72   [ 4 of Diamonds ,  K of Club     ,  2 of Hearts   ,  Q of Hearts   ]    
Round  73   [ Q of Hearts   ,  6 of Spades   ,  K of Club     ,  5 of Club     ]    
Round  74   [ A of Diamonds ,  3 of Spades   ,  4 of Spades   ,  2 of Spades   ]    
Round  75   [ 8 of Spades   ,  J of Diamonds ,  A of Hearts   , 10 of Spades   ]    
Round  76   [ 2 of Hearts   ,  8 of Club     ,  5 of Spades   ,  J of Club     ]    
Round  77   [ 3 of Hearts   ,  3 of Diamonds ,  5 of Club     ,  J of Hearts   ]    
Round  78   [ 2 of Club     ,  9 of Hearts   ,  A of Spades   ,  A of Hearts   ]    
Round  79   [ J of Diamonds ,  4 of Hearts   ,  2 of Spades   , 10 of Spades   ]    
Round  80   [ K of Club     , 10 of Spades   ,  6 of Club     ,  5 of Hearts   ]    
Round  81   [ 5 of Hearts   ,  A of Diamonds ,  J of Club     , 10 of Spades   ]    
Round  82   [ J of Spades   ,  2 of Hearts   ,  7 of Spades   ,  A of Hearts   ]    
Round  83   [ 4 of Diamonds ,  7 of Diamonds ,  J of Spades   ,  9 of Spades   ]    
Round  84   [ K of Club     ,  J of Spades   ,  K of Diamonds ,  A of Diamonds ]    
Round  85   [ 8 of Spades   ,  3 of Club     ,  6 of Hearts   ,  Q of Diamonds ]    
Round  86   [ 6 of Diamonds , 10 of Spades   ,  3 of Club     ,  2 of Diamonds ]    
Round  87   [ 2 of Club     ,  J of Diamonds ,  5 of Hearts   ,  6 of Diamonds ]    
Round  88   [ 4 of Spades   ,  9 of Club     ,  9 of Spades   ,  Q of Diamonds ]    
Round  89   [ 4 of Diamonds ,  9 of Hearts   ,  9 of Spades   ,  4 of Spades   ]    
Round  90   [ 6 of Spades   , 10 of Diamonds ,  A of Hearts   ,  6 of Hearts   ]    
Round  91   [10 of Club     ,  4 of Hearts   ,  2 of Hearts   ,  2 of Spades   ]    
Round  92   [ 9 of Spades   ,  7 of Hearts   ,  A of Spades   ,  2 of Spades   ]    
Round  93   [ 6 of Club     ,  Q of Diamonds ,  8 of Diamonds ,  J of Hearts   ]    
Round  94   [ 2 of Hearts   ,  3 of Spades   ,  3 of Club     ,  2 of Club     ]    
Round  95   [ J of Hearts   ,  8 of Diamonds ,  4 of Spades   ,  2 of Diamonds ]    
Round  96   [ Q of Spades   ,  A of Diamonds ,  7 of Hearts   ,  4 of Club     ]    
Round  97   [ J of Diamonds ,  A of Club     ,  3 of Diamonds ,  J of Club     ]    
Round  98   [ 2 of Club     ,  5 of Club     ,  2 of Spades   ,  9 of Hearts   ]    
Round  99   [ Q of Spades   ,  3 of Club     , 10 of Spades   ,  K of Hearts   ]    
Round 100   [ 2 of Club     ,  3 of Spades   ,  2 of Diamonds ,  J of Club     ]    
Round 101   [ 4 of Spades   ,  9 of Hearts   ,  Q of Hearts   ,  3 of Hearts   ]    
Round 102   [ 8 of Diamonds ,  2 of Hearts   ,  A of Hearts   ,  3 of Spades   ]    
Round 103   [ 3 of Spades   ,  4 of Spades   ,  9 of Spades   ,  9 of Diamonds ]    
Round 104   [ 9 of Spades   ,  K of Club     , 10 of Club     ,  K of Hearts   ]    
Round 105   [ Q of Diamonds ,  4 of Diamonds ,  A of Diamonds ,  2 of Club     ]    
Round 106   [ 4 of Club     ,  9 of Spades   ,  9 of Diamonds ,  6 of Club     ]    
Round 107   [ 7 of Hearts   ,  K of Diamonds ,  3 of Club     ,  8 of Spades   ]    
Round 108   [ A of Diamonds ,  8 of Diamonds ,  8 of Club     ,  7 of Diamonds ]    
Round 109   [ 5 of Club     , 10 of Diamonds ,  K of Club     ,  2 of Club     ]    
Round 110   [10 of Diamonds ,  6 of Spades   ,  J of Hearts   ,  6 of Diamonds ]    
Round 111   [ 2 of Spades   ,  3 of Diamonds ,  7 of Club     , 10 of Diamonds ]    
Round 112   [ 3 of Diamonds ,  A of Club     ,  7 of Diamonds , 10 of Spades   ]    
Round 113   [ 3 of Diamonds ,  Q of Club     ,  Q of Spades   ,  8 of Club     ]    
Round 114   [ 6 of Diamonds ,  3 of Hearts   ,  A of Diamonds ,  9 of Club     ]    
Round 115   [ 6 of Club     ,  5 of Club     ,  6 of Hearts   ,  A of Hearts   ]    
Round 116   [ 6 of Club     ,  9 of Diamonds ,  2 of Club     ,  Q of Spades   ]    
Round 117   [ 7 of Diamonds ,  Q of Hearts   , 10 of Spades   ,  2 of Diamonds ]    
Round 118   [ K of Hearts   ,  A of Diamonds , 10 of Spades   ,  Q of Diamonds ]    
Round 119   [ K of Club     ,  6 of Hearts   ,  7 of Spades   ,  A of Club     ]    
Round 120   [ Q of Spades   , 10 of Hearts   ,  K of Hearts   ,  6 of Club     ]    
Round 121   [ 2 of Club     ,  2 of Spades   ,  J of Club     ,  7 of Club     ]    
Round 122   [ Q of Hearts   ,  9 of Spades   ,  3 of Club     ,  4 of Spades   ]    
Round 123   [ 4 of Club     ,  9 of Diamonds ,  4 of Hearts   ,  9 of Spades   ]    
Round 124   [10 of Diamonds ,  4 of Diamonds ,  A of Hearts   ,  5 of Diamonds ]    
Round 125   [ 9 of Club     ,  4 of Diamonds ,  J of Spades   ,  K of Hearts   ]    
Round 126   [ K of Hearts   ,  6 of Club     ,  5 of Spades   ,  Q of Diamonds ]    
Round 127   [ 6 of Hearts   ,  7 of Diamonds ,  5 of Spades   ,  9 of Club     ]    
Round 128   [ 6 of Spades   ,  A of Hearts   ,  3 of Club     ,  K of Diamonds ]    
Round 129   [10 of Spades   ,  6 of Diamonds ,  8 of Spades   ,  A of Spades   ]    
Round 130   [ 9 of Spades   ,  J of Spades   ,  5 of Spades   ,  2 of Club     ]    
Round 131   [ Q of Spades   ,  8 of Spades   ,  9 of Club     ,  9 of Spades   ]    
Round 132   [ 4 of Club     ,  8 of Spades   , 10 of Spades   ,  Q of Diamonds ]    
Round 133   [ 5 of Hearts   , 10 of Diamonds ,  9 of Spades   ,  Q of Spades   ]    
Round 134   [ 3 of Diamonds ,  4 of Hearts   ,  2 of Diamonds ,  A of Spades   ]    
Round 135   [ 9 of Hearts   ,  Q of Hearts   ,  A of Diamonds ,  2 of Diamonds ]    
Round 136   [ 8 of Spades   ,  9 of Club     ,  5 of Spades   ,  3 of Spades   ]    
Round 137   [ 9 of Spades   ,  Q of Club     ,  6 of Club     , 10 of Club     ]    
Round 138   [ 7 of Hearts   ,  4 of Diamonds , 10 of Club     ,  6 of Diamonds ]    
Round 139   [ 3 of Club     ,  9 of Club     ,  J of Spades   ,  9 of Diamonds ]    
Round 140   [ 8 of Club     ,  9 of Club     ,  K of Club     ,  7 of Club     ]    
