Round   1   [ A of Diamonds ,  Q of Diamonds , 10 of Diamonds ,  A of Club     ]    
Round  29   [ 6 of Club     ,  9 of Club     ,  9 of Spades   ,  6 of Diamonds ]    
Round  30   [ 3 of Diamonds ,  9 of Hearts   ,  9 of Spades   ,  9 of Diamonds ]    
Round  31   [ 9 of Hearts   ,  9 of Spades   ,  A of Spades   ,  6 of Club     ]    
Round  32   [ 7 of Hearts   , 10 of Club     ,  Q of Diamonds ,  2 of Diamonds ]    
Round  33   [ K of Hearts   ,  J of Club     , 10 of Diamonds ,  9 of Club     ]    
Round  34   [ Q of Club     ,  8 of Diamonds ,  6 of Club     ,  5 of Hearts   ]    
Round  35   [ 6 of Diamonds ,  7 of Club     ,  K of Diamonds ,  8 of Spades   ]    
Round  36   [ 6 of Spades   ,  5 of Club     ,  8 of Spades   ,  8 of Hearts   ]    
Round  37   [ J of Hearts   ,  6 of Hearts   ,  6 of Club     ,  J of Club     ]    
Round  38   [ Q of Spades   ,  5 of Club     ,  5 of Spades   ,  A of Club     ]    
Round  39   [ 5 of Diamonds ,  4 of Spades   ,  5 of Club     , 10 of Diamonds ]    
Round  40   [ 6 of Hearts   ,  K of Hearts   ,  4 of Hearts   ,  5 of Diamonds ]    
Round  41   [ 3 of Spades   ,  3 of Club     ,  J of Diamonds , 10 of Spades   ]    
Round  42   [ 2 of Hearts   ,  2 of Diamonds ,  Q of Club     ,  5 of Diamonds ]    
Round  43   [ Q of Hearts   ,  6 of Hearts   ,  A of Diamonds ,  2 of Diamonds ]    
Round  44   [ 5 of Hearts   ,  7 of Club     ,  7 of Hearts   ,  5 of Club     ]    
Round  45   [ 3 of Spades   ,  4 of Spades   ,  J of Diamonds ,  5 of Diamonds ]    
Round  46   [ 5 of Spades   , 10 of Club     ,  4 of Club     ,  A of Diamonds ]    
Round  47   [10 of Spades   ,  9 of Hearts   ,  A of Club     ,  K of Diamonds ]    
Round  48   [ J of Club     ,  A of Hearts   ,  Q of Diamonds ,  4 of Diamonds ]    
Round  49   [ 4 of Diamonds ,  3 of Hearts   ,  8 of Spades   ,  K of Diamonds ]    
Round  50   [ J of Spades   , 10 of Diamonds ,  K of Hearts   ,  Q of Hearts   ]    
Round  51   [ 6 of Hearts   ,  6 of Club     ,  5 of Spades   ,  8 of Spades   ]    
Round  52   [ 5 of Spades   ,  K of Club     , 10 of Hearts   ,  3 of Hearts   ]    
Round  53   [ 6 of Diamonds ,  Q of Club     ,  Q of Diamonds ,  J of Hearts   ]    
Round  54   [ 3 of Spades   ,  A of Hearts   , 10 of Club     ,  7 of Club     ]    
Round  55   [ K of Hearts   ,  A of Hearts   ,  J of Diamonds ,  K of Diamonds ]    
Round  56   [10 of Spades   ,  5 of Hearts   ,  4 of Diamonds ,  5 of Diamonds ]    
Round  57   [ K of Club     ,  5 of Club     ,  5 of Diamonds ,  A of Diamonds ]    
Round  58   [ 3 of Spades   ,  7 of Diamonds ,  9 of Diamonds ,  Q of Diamonds ]    
Round  59   [10 of Spades   ,  Q of Club     ,  9 of Club     ,  K of Club     ]    
Round  60   [ K of Hearts   ,  Q of Spades   ,  7 of Diamonds ,  A of Club     ]    
Round  61   [ K of Club     ,  J of Club     ,  4 of Hearts   ,  7 of Club     ]    
Round  62   [ 6 of Club     ,  8 of Spades   ,  4 of Club     , 10 of Spades   ]    
Round  63   [ J of Spades   ,  9 of Spades   ,  2 of Hearts   ,  9 of Club     ]    
Round  64   [ 9 of Spades   ,  J of Diamonds ,  5 of Diamonds ,  Q of Spades   ]    
Round  65   [ 9 of Club     ,  4 of Diamonds ,  K of Club     ,  Q of Hearts   ]    
Round  66   [ 2 of Diamonds ,  A of Diamonds ,  6 of Diamonds ,  2 of Club     ]    
Round  67   [ 8 of Diamonds , 10 of Spades   ,  4 of Hearts   ,  8 of Club     ]    
Round  68   [ 6 of Hearts   ,  8 of Diamonds ,  9 of Spades   ,  7 of Spades   ]    
Round  69   [ 4 of Diamonds ,  A of Hearts   ,  9 of Club     ,  A of Diamonds ]    
Round  70   [ Q of Spades   ,  4 of Spades   ,  K of Club     ,  3 of Hearts   ]    
Round  71   [ 8 of Club     ,  3 of Spades   ,  9 of Club     ,  9 of Diamonds ]    
Round  72   [ 6 of Hearts   ,  K of Club     , 10 of Diamonds , 10 of Hearts   ]    
Round  73   [ 7 of Club     ,  9 of Spades   ,  A of Spades   ,  8 of Diamonds ]    
Round  74   [ Q of Spades   , 10 of Spades   , 10 of Club     ,  K of Hearts   ]    
Round  75   [ 7 of Spades   ,  A of Club     ,  5 of Hearts   ,  9 of Diamonds ]    
Round  76   [ 6 of Spades   ,  8 of Spades   ,  8 of Hearts   ,  2 of Diamonds ]    
Round  77   [ 8 of Spades   ,  A of Club     ,  Q of Club     ,  4 of Spades   ]    
Round  78   [10 of Spades   ,  6 of Club     ,  K of Hearts   ,  K of Diamonds ]    
Round  79   [ 8 of Club     ,  J of Hearts   ,  3 of Diamonds ,  2 of Diamonds ]    
Round  80   [ A of Club     ,  7 of Club     ,  A of Spades   ,  K of Hearts   ]    
Round  81   [ J of Club     ,  6 of Diamonds ,  5 of Spades   ,  2 of Hearts   ]    
Round  82   [ J of Hearts   ,  Q of Hearts   ,  8 of Spades   ,  9 of Hearts   ]    
Round  83   [ J of Hearts   ,  9 of Club     ,  9 of Spades   ,  8 of Diamonds ]    
Round  84   [ Q of Hearts   ,  5 of Hearts   ,  J of Spades   ,  3 of Hearts   ]    
Round  85   [ 4 of Spades   ,  8 of Club     ,  8 of Diamonds ,  J of Diamonds ]    
Round  86   [ 5 of Club     ,  6 of Club     ,  K of Diamonds ,  6 of Spades   ]    
Round  87   [ 7 of Club     ,  K of Hearts   ,  8 of Club     ,  2 of Spades   ]    
Round  88   [ 6 of Diamonds ,  9 of Hearts   ,  5 of Hearts   ,  7 of Club     ]    
Round  89   [ 9 of Club     ,  5 of Diamonds , 10 of Club     ,  8 of Diamonds ]    
Round  90   [ 4 of Hearts   ,  7 of Club     ,  A of Spades   ,  3 of Club     ]    
Round  91   [ Q of Club     ,  3 of Club     ,  9 of Spades   ,  K of Club     ]    
Round  92   [ 6 of Club     ,  4 of Diamonds ,  A of Spades   ,  Q of Spades   ]    
Round  93   [ A of Club     ,  2 of Diamonds ,  4 of Diamonds ,  3 of Spades   ]    
Round  94   [ 2 of Spades   ,  Q of Spades   ,  5 of Diamonds ,  3 of Club     ]    
Round  95   [ K of Diamonds ,  6 of Spades   ,  4 of Club     ,  Q of Club     ]    
Round  96   [ Q of Club     , 10 of Hearts   ,  6 of Club     ,  3 of Spades   ]    
Round  97   [ 8 of Hearts   ,  J of Club     ,  A of Spades   ,  8 of Club     ]    
Round  98   [ A of Hearts   ,  9 of Hearts   ,  Q of Spades   ,  7 of Club     ]    
Round  99   [10 of Diamonds ,  4 of Spades   ,  J of Club     ,  K of Club     ]    
Round 100   [ A of Diamonds ,  6 of Diamonds ,  3 of Spades   ,  K of Club     ]    
Round 101   [ A of Spades   ,  9 of Diamonds ,  7 of Hearts   ,  4 of Spades   ]    
Round 102   [ 8 of Spades   ,  4 of Hearts   ,  7 of Diamonds ,  8 of Diamonds ]    
Round 103   [ 4 of Diamonds , 10 of Diamonds ,  J of Diamonds ,  A of Club     ]    
Round 104   [ 2 of Spades   ,  9 of Diamonds ,  7 of Club     ,  3 of Club     ]    
Round 105   [ A of Diamonds ,  Q of Diamonds ,  6 of Diamonds ,  J of Diamonds ]    
